2020:11:20 15:58:51.339 INFO  --- [main] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2020:11:20 15:58:51.343 INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2269 ms 
2020:11:20 15:58:51.554 INFO  --- [main] o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor' 
2020:11:20 15:58:51.738 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"] 
2020:11:20 15:58:51.762 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path '' 
2020:11:20 15:58:51.775 INFO  --- [main] com.example.demo.DemoApplication : Started DemoApplication in 3.501 seconds (JVM running for 3.96) 
2020:11:20 15:59:06.311 INFO  --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet' 
2020:11:20 15:59:06.312 INFO  --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet' 
2020:11:20 15:59:06.314 INFO  --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : Completed initialization in 1 ms 
2020:11:20 15:59:06.340 INFO  --- [http-nio-8080-exec-1] com.example.demo.Controller : info 
2020:11:20 16:07:02.124 INFO  --- [main] com.example.demo.DemoApplication : Starting DemoApplication using Java 12.0.2 on DESKTOP-MAEU7DJ with PID 17324 (C:\pjt\spring-pjt-all\custom-logger-test\build\classes\java\main started by jiyoung in C:\pjt\spring-pjt-all\custom-logger-test) 
2020:11:20 16:07:02.125 DEBUG --- [main] com.example.demo.DemoApplication : Running with Spring Boot v2.4.0, Spring v5.3.1 
2020:11:20 16:07:02.125 INFO  --- [main] com.example.demo.DemoApplication : The following profiles are active: local,core 
2020:11:20 16:07:04.830 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http) 
2020:11:20 16:07:04.844 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"] 
2020:11:20 16:07:04.845 INFO  --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2020:11:20 16:07:04.845 INFO  --- [main] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.39] 
2020:11:20 16:07:04.951 INFO  --- [main] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2020:11:20 16:07:04.952 INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2725 ms 
2020:11:20 16:07:05.205 INFO  --- [main] o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor' 
2020:11:20 16:07:05.501 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"] 
2020:11:20 16:07:05.539 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path '' 
2020:11:20 16:07:05.558 INFO  --- [main] com.example.demo.DemoApplication : Started DemoApplication in 4.227 seconds (JVM running for 4.782) 
2020:11:20 16:07:12.172 INFO  --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet' 
2020:11:20 16:07:12.174 INFO  --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet' 
2020:11:20 16:07:12.176 INFO  --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : Completed initialization in 1 ms 
2020:11:20 16:07:12.210 INFO  --- [http-nio-8080-exec-1] com.example.demo.Controller : controller 기본 로그  
2020:11:20 16:08:39.507 INFO  --- [main] com.example.demo.DemoApplication : Starting DemoApplication using Java 12.0.2 on DESKTOP-MAEU7DJ with PID 8912 (C:\pjt\spring-pjt-all\custom-logger-test\build\classes\java\main started by jiyoung in C:\pjt\spring-pjt-all\custom-logger-test) 
2020:11:20 16:08:39.508 DEBUG --- [main] com.example.demo.DemoApplication : Running with Spring Boot v2.4.0, Spring v5.3.1 
2020:11:20 16:08:39.508 INFO  --- [main] com.example.demo.DemoApplication : The following profiles are active: local,core 
2020:11:20 16:08:41.713 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http) 
2020:11:20 16:08:41.727 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"] 
2020:11:20 16:08:41.727 INFO  --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2020:11:20 16:08:41.727 INFO  --- [main] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.39] 
2020:11:20 16:08:41.823 INFO  --- [main] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2020:11:20 16:08:41.823 INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2249 ms 
2020:11:20 16:08:42.038 INFO  --- [main] o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor' 
2020:11:20 16:08:42.227 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"] 
